C7170003,2片罐加多宝 1607-202 北铁杭合绍版,7009780
C7170002,2片罐加多宝 1607-202 北铁杭合绍版,373440
C7170010,江苏太古可乐常规版330ml(1701),3023507
C7170008,江苏太古雪碧常规版330ml（1701）,2047696
C7170009,浙江太古可乐常规版330ml（1701）,4969675
C7170007,浙江太古雪碧常规版330ml（1608）,4977644
C7170004,漳州百威小麦王改配料SC版330-202（1701）,3789249
C7170016,漳州百威小麦王改配料SC版330-202（1701）,1991680
C7170017,漳州百威冰纯SC版330-202（1701）,308866
C7170005,台州石梁百威小麦王330-202（1601）,342320
C7170006,台州石梁百威冰爽9度330-202(1601),305365
C7170023,台州石梁百威冰畅330-202（1602）,289805
C7170014,余杭华润8度清爽330ml (1502) 202,5027436
C7170012,余杭华润8度淡爽 330ml (1502) 202,2028912
C7170021,余杭华润8度淡爽 330ml (1502) 202,1756335
C7170011,萧山华润8度纯生330ml (1601) 202,3501000
C7170022,萧山华润8度淡爽330ml (1502) 202,791526
C7170013,杭州青啤绿冰醇 330-202SC 版（1602）,1529937
C7170018,杭州青啤山水啤酒醉美黄山 330-202SC 版（1701）,505900
C7170019,杭州青啤山水330-202SC版（1701）,2006851
C7170015,青岛啤酒三得利清爽330ml-202(1601),3094495
C7170020,松江青啤山水330ml（1605）新标注,1513364
,,0
M7170014,杭州青啤山水啤酒醉美黄山SC版500ml-202（1701）,267632
M7170015,杭州青啤10P500优质第3季海上啤酒节（1701）,1970096
M7170026,杭州青啤山水啤酒醉美黄山SC版500ml-202（1701）,487417
M7170018,杭州青啤新安江醉美金罐500-202(1601),482915
M7170016,杭州青啤崂山金指环促销SC版500-202（1701）,2005295
M7170030,杭州青啤山水啤酒醉美黄山SC版500ml-202（1701）,503963
M7170031,杭州青啤10P500优质第3季海上啤酒节（1701）,594969
M7170042,杭州青啤10P500优质第3季海上啤酒节（1701）,1187617
M7170020,松江青啤经典500ml（1605）新标注,292528
M7170038,松江青啤淡爽500ml（1605）糖浆8.0,810287
M7170037,松江青啤经典500ml（1701）啤酒节促销,1189951
M7170022,烟台青啤喝伙人联盟500ml（上场10字版）,2967292
M7170021,余杭华润8度超爽500ML 1601,990394
M7170027,余杭华润8度超爽促销500ML 1601,2478880
M7170028,余杭华润8度勇闯天涯500ml(1503)202,1633800
M7170029,余杭华润8度清爽500ml (1502) 202,1046632
M7170046,余杭华润8度清爽500ml (1502) 202,2439030
M7170047,余杭华润8度超爽500ML 1601,995062
M7170048,余杭华润8度超爽促销500ML 1601,4204312
M7170032,萧山华润8度勇闯纯生500ml（1702）,499087
M7170033,浙江华润8度原汁麦500ml（1701）,502588
M7170024,台州石梁百威哈冰爽500-202（1602）,950327
M7170017,IAP易（大）-漳州工厂（1601）,1852418
M7170034,宁波大梁山7度经典500ml（1701）,296029
M7170035,宁波大梁山8度清爽500ml（1701）,467967
M7170036,宁波大梁山9度红啤500ml（1701）,317622
