M7160325,杭州青啤崂山金指环促销-安徽SC版500-202（1701）,489751
M7160326,杭州青啤崂山金指环促销SC版500-202（1701）,3003281
M7160327,杭州青啤10P500优质第3季海上啤酒节（1701）,1005386
M7160336,杭州青啤崂山金指环促销SC版500-202（1701）,3496332
M7160337,杭州青啤醉美山水500ml-202(1501),197223
M7160334,松江青啤经典500ml（1605）新标注,756416
M7160332,松江青啤崂山CBA500ml（1701）金指环促销,992339
M7160333,松江青啤绿冰醇500ml（1605）糖浆8.0,297506
M7160339,松江青啤经典500ml（1605）新标注,101140
M7170006,松江青啤崂山CBA500ml（1701）金指环促销,799006
M7170010,松江青啤经典500ml（1605）新标注,599449
M7170011,松江青啤淡爽500ml（1605）糖浆8.0,598671
M7160331,烟台青啤崂山啤酒500ml（1701）河北有奖罐,3917230
M7170005,烟台青啤崂山啤酒500ml（1701）吉林有奖罐,2823362
M7160335,昆山青啤崂山CBA500ml（1701）金指环促销,520093
M7170009,青岛啤酒三得利超纯500ml-202(1602),2578136
M7160323,台州石梁百威哈冰爽500-202（1602）,786169
M7170007,台州石梁百威哈冰爽500-202（1602）,1476255
M7170008,台州石梁哈啤小麦王500-202（1601）,416230
M7170012,台州石梁哈啤小麦王500-202（1601）,1740775
M7160338,IAP易（大）-漳州工厂（1601）,1031628
M7160328,余杭华润8度勇闯天涯500ml(1503)202,2178400
M7170002,余杭华润8度勇闯天涯500ml(1503)202,1799180
M7170003,余杭华润8度超爽500ML 1601,693192
M7170004,余杭华润8度超爽促销500ML 1601,1003431
M7160329,萧山华润8度纯生500ml (1601) 202,1478400
C7170001,2片罐加多宝 1607-202 北铁杭合绍版,6799720
M7170013,500ml样品罐（202）,700
