M7170228,杭州青啤崂山金指环促销SC版500-202（1701）,1989935
M7170220,杭州青啤10P500优质第3季海上啤酒节（1701）,1012178
M7170234,杭州青啤10P500优质第3季海上啤酒节（1701）,484685
M7170233,杭州青啤崂山金指环促销SC版500-202（1701）,3000357
M7170242,杭州青啤10P500优质第3季海上啤酒节（1701）,954716
M7170241,杭州青啤崂山金指环促销SC版500-202（1701）,1989346
M7170247,杭州青啤崂山金指环促销SC版500-202（1701）,1971841
M7170249,杭州青啤10P500优质第3季海上啤酒节（1701）,3356991
M7170250,杭州青啤500ml9P 经典赋码罐1705,509501
M7170229,烟台青啤崂山500ml辽宁有奖罐1706,1178281
M7170230,烟台青啤崂山500ml河北有奖罐1706,2901162
M7170259,烟台青啤崂山500ml吉林有奖罐1706,1188395
M7170221,松江青啤山水优质金罐500ml（1605）新标注,418953
M7170232,松江青啤绿冰醇500ml（1605）糖浆8.0,803949
M7170222,余杭华润8度超爽促销500ML 1601,2531223
M7170235,余杭华润8度勇闯天涯500ml(1503)202,993117
M7170236,余杭华润8度超爽500ML 1601,500643
M7170237,余杭华润8度超爽促销500ML 1601,702534
M7170243,余杭华润8度清爽500ml (1502) 202,780128
M7170244,余杭华润8度超爽500ML 1601,1498628
M7170245,余杭华润8度超爽促销500ML 1601,2308306
M7170246,余杭华润8度勇闯天涯500ml(1503)202,1022502
M7170251,余杭华润8度清爽500ml (1502) 202,1207066
M7170252,余杭华润8度勇闯天涯500ml(1503)202,2013375
M7170257,余杭华润8度超爽500ML 1601,1998682
M7170240,萧山华润8度超爽促销500ML 1601,691253
M7170256,萧山华润8度纯生500ml (1601) 202,1290313
M7170218,台州石梁百威普通版新版-500ml（1602）,1011400
M7170219,台州石梁百威哈冰爽500-202（1602）,793949
M7170239,台州石梁百威哈冰爽500-202（1602）,1019120
M7170248,台州石梁百威哈冰爽500-202（1602）,1515933
M7170253,台州石梁百威普通版新版-500ml（1602）,1572727
M7170223,宁波百威哈冰爽500-202（1601）,2398963
M7170238,宁波百威哈冰爽500-202（1601）,1632244
M7170224,锐澳强爽卡曼橘500ml（1701）,292917
M7170225,锐澳微醺西柚500ml（1701）,257518
M7170226,锐澳微醺葡萄500ml（1701）,307310
M7170227,锐澳微醺白桃500ml（1701）,360603
M7170231,500ml样品罐（202）,21784
C7170092,台州石梁百威冰畅330-202（1602）,497920
C7170099,台州石梁百威冰爽9度330-202(1601),862802
C7170105,宁波百威冰畅8度330-202（1601）,64773
C7170096,浙江太古可乐夏季版（乖巧）330ml（1704）,5016155
C7170098,浙江太古雪碧王者荣耀（貂蝉）330ml（1706）,11687316
C7170106,浙江太古可乐夏季版（JPG）330ml（1704）,1006343
C7170101,江苏太古可乐夏季版（握拳）330ml（1704）,2024353
C7170103,江苏太古雪碧王者荣耀（虞姬）330ml（1707）,1841915
C7170104,松江青啤山水330ml（1605）新标注,979113
C7170108,松江青啤绿冰醇330ml（1605）糖浆8.0,1011011
C717R013,浙江太古可乐夏季版（乖巧）330ml（1704）,-130
C717R014,台州石梁百威小麦王330-202（1601）,-200
C717R015,江苏太古可乐（握拳）330ml（1704）申美出品,-69
C717R016,余杭华润8度超爽促销500ML 1601,-1167
