M7170345,2片罐加多宝1709-202北铁杭合绍版,7033120
C7170132,2片罐加多宝 1607-202 北铁杭合绍版,34125025
C7170133,萧山华润8度纯生330ml (1601) 202,809898
C7170134,余杭华润8度清爽330ml (1502) 202,912594
M7170343,台州百威雁荡山冰纯330ml（1710）,302104
C7170138,2片罐加多宝 1607-202 北铁杭合绍版,1011400
C7170141,2片罐加多宝 1607-202 北铁杭合绍版,8277840
C7170136,萧山华润8度纯生330ml (1601) 202,1015290
C7170139,宁波百威红石梁7度330-202（1601）,106975
C7170140,宁波百威红石梁330ml（1711）,505700
M7170344,台州百威雁荡山醇麦330ml（1710）,1165833
C7170143,台州百威雁荡山冰纯330ml（1710）,310422
C7170144,松江青啤冰纯330ml（1711）,818067
C7170135,2片罐加多宝1709-202北铁杭合绍版,8145660
M7170346,烟台青啤崂山500ml河北有奖罐1706,472246
M7170347,烟台青啤500ml劲爽1711,510368
M7170348,烟台青啤崂山500ml中超喝伙人1706（攻无不克）,3954574
M7170350,烟台青啤河北500ml金条崂山罐1711,9949064
M7170357,烟台青啤河北500ml金条崂山罐1711,96083
M7170356,余杭华润8度清爽500ml (1502) 202,1987401
M7170358,惠州嘉士伯乐堡新年版(红色\橙色）500ml-202-SL,98000
M7170353,惠州嘉士伯-8度特醇啤酒202/500ml（1701）,396780
M7170354,萧山华润11.5度脸谱500ml (1601) 202,508812
M7170355,余杭华润8度勇闯天涯500ml(1503)202,2000627
M7170351,台州石梁哈啤小麦王500-202（1601）,348933
M7170359,台州石梁百威普通版新版-500ml（1602）,2148647
M7170360,余杭华润8度超爽500ml 1601,503755
M7170362,烟台青啤河北500ml金条崂山罐1711,766307
