M7170159,惠州嘉士伯-10.8度复古限量罐（J.Jensen）202/500ml(1701,1018679
M7170157,惠州嘉士伯-10.3度冰纯嘉士伯啤酒202/500ml(1501),490140
M7170162,惠州嘉士伯-10.8度绿嘉罐202/500ml(1601),739100
M7170201,惠州嘉士伯-8度特醇啤酒202/500ml（1701）,497458
M7170161,松江青啤绿冰醇500ml（1605）糖浆8.0,230099
M7170163,松江青啤500ml清醇1705,478820
M7170171,松江青啤绿冰醇500ml（1605）糖浆8.0,985726
M7170183,松江青啤经典500ml（1701）啤酒节促销,791892
M7170192,松江青啤淡爽500ml（1605）糖浆8.0,799006
M7170193,松江青啤绿冰醇500ml（1605）糖浆8.0,1313264
M7170167,烟台青啤喝伙人联盟500ml（球场10字版）,1192674
M7170173,烟台青啤 500ml 崂山清爽1706,2007629
M7170177,烟台青啤崂山啤酒500ml（1701）河北有奖罐,653520
M7170184,烟台青啤崂山啤酒500ml-202（1701）辽宁有奖罐,991172
M7170189,烟台青啤 500ml 崂山清爽1706,2000238
M7170195,烟台青啤喝伙人联盟500ml（球场10字版）,954216
M7170202,烟台青啤崂山啤酒500ml（1701）河北有奖罐,1395732
M7170207,烟台青啤崂山500ml中超喝伙人1706（战无不胜）,2068313
M7170213,烟台青啤崂山500ml中超喝伙人1706（战无不胜）,912810
M7170217,烟台青啤崂山500ml辽宁有奖罐1706,1810406
M7170172,杭州青啤500ml9P 经典赋码罐1705,702534
M7170176,杭州青啤崂山金指环促销SC版500-202（1701）,3880605
M7170174,杭州青啤500ml9P 崂山赋码罐1705,496364
M7170198,杭州青啤500ml8P优质罐1706,490529
M7170199,杭州青啤10P500优质第3季海上啤酒节（1701）,494419
M7170209,杭州青啤山水啤酒醉美黄山SC版500ml-202（1701）,500643
M7170210,杭州青啤500ml9P 经典赋码罐1705,492085
M7170175,昆山青啤清爽500ml（1706）,246237
M7170160,台州石梁百威普通版新版-500ml（1602）,1625631
M7170169,台州石梁百威哈冰爽500-202（1602）,2330499
M7170185,台州石梁哈啤小麦王500-202（1601）,907537
M7170203,台州石梁哈啤小麦王500-202（1601）,719261
M7170182,宁波百威哈冰爽500-202（1601）,1199870
M7170194,宁波百威哈冰爽500-202（1601）,1990890
M7170164,余杭华润8度勇闯天涯500ml(1503)202,2993265
M7170170,余杭8度绿原汁麦促销500ML1701,1989346
M7170165,余杭华润8度超爽500ML 1601,1975342
M7170179,余杭华润8度超爽促销500ML 1601,3018539
M7170180,余杭华润8度勇闯天涯500ml(1503)202,2474818
M7170197,余杭华润8度超爽促销500ML 1601,3074644
M7170200,余杭华润8度勇闯天涯500ml(1503)202,4665277
M7170214,余杭华润8度超爽500ML 1601,973278
M7170216,余杭华润8度清爽500ml (1502) 202,1594122
M7170166,萧山华润9.5度冰八500ML1701,2988259
M7170178,萧山华润9.5度冰八500ML1701,4932863
M7170190,萧山华润9.5度冰八500ML1701,2756836
M7170191,萧山华润8度纯生500ml (1601) 202,1012787
M7170208,萧山华润11.5度脸谱500ml (1601) 202,497808
M7170215,萧山华润9度金威纯香500ML(1701),887309
M7170186,湖州特思拉冰马啤酒500-202（1701）,506478
M7170181,500ml样品罐（202）,5057
M7170142,三得利500ml清爽1705,1431909
M7170188,昆明华狮-8度乐堡（燥起来干一杯心要野）202/500ml(1701),223286
C717R001,2片罐加多宝 1607-202 北铁杭合绍版 ,-100
C717R002,江苏太古可乐常规版330ml(1701),-500
C717R003,余杭华润8度超爽500ML 1601,-1635
C717R004,2片罐加多宝促销1701-202北铁杭合绍版,-389
C717R005,余杭华润8度清爽500ml (1502) 202,-521
C717R006,台州石梁百威普通版新版-500ml（1602）,-57
C717R007,杭州青啤崂山金指环促销SC版500-202（1701>,-389
C717R008,宁波百威红石梁7度330-202（1601）,-3501
C717R009,上海申美可乐夏季版（521）330ml（1704）,-389
